id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
9115;3;69;12,4806;12,4809;41,9004;41,9007;12,48075;41,90055;12,4807072;41,90053393;9;1;4,12;10,87;9;12/2/2014 12:25;1;9
14666;60;110;12,4977;12,498;41,9127;41,913;12,49785;41,91285;12,49772239;41,9127951;8;1;2,25;19;12;12/2/2014 12:25;1;9
7114;12;54;12,4833;12,4836;41,8959;41,8962;12,48345;41,89605;12,48343214;41,89604105;19;1;0,5;2;1;12/2/2014 12:25;1;9
11319;63;85;12,4986;12,4989;41,9052;41,9055;12,49875;41,90535;12,49869965;41,9053146;15;2;8,53;21,71;14;12/2/2014 12:25;1;9
17576;22;132;12,4863;12,4866;41,9193;41,9196;12,48645;41,91945;12,4864335;41,91936648;8;1;5,33;18,6;11;12/2/2014 12:25;1;9
12094;34;91;12,4899;12,4902;41,907;41,9073;12,49005;41,90715;12,49004304;41,90717545;35;3;0,21;34,29;10;12/2/2014 12:25;1;9
11127;5;84;12,4812;12,4815;41,9049;41,9052;12,48135;41,90505;12,48148077;41,90517284;3;1;1,83;17,92;13;12/2/2014 12:25;1;9
10605;19;80;12,4854;12,4857;41,9037;41,904;12,48555;41,90385;12,48560197;41,90389006;21;4;0,96;27,27;11;12/2/2014 12:25;1;9
9941;25;75;12,4872;12,4875;41,9022;41,9025;12,48735;41,90235;12,48733449;41,90243307;18;2;2,23;18,96;11;12/2/2014 12:25;1;9
9942;26;75;12,4875;12,4878;41,9022;41,9025;12,48765;41,90235;12,48761899;41,90247864;18;2;2,34;18,29;11;12/2/2014 12:25;1;9
10076;26;76;12,4875;12,4878;41,9025;41,9028;12,48765;41,90265;12,48777773;41,90250379;3;2;2,35;18,21;11;12/2/2014 12:25;1;9
10077;27;76;12,4878;12,4881;41,9025;41,9028;12,48795;41,90265;12,48795915;41,90253253;21;2;2,35;18,2;11;12/2/2014 12:25;1;9
10078;28;76;12,4881;12,4884;41,9025;41,9028;12,48825;41,90265;12,48825396;41,90257924;18;2;2,36;18,11;11;12/2/2014 12:25;1;9
10079;29;76;12,4884;12,4887;41,9025;41,9028;12,48855;41,90265;12,48854877;41,90262595;21;2;2,37;18,03;11;12/2/2014 12:25;1;9
10080;30;76;12,4887;12,489;41,9025;41,9028;12,48885;41,90265;12,48884357;41,90267266;18;2;2,39;17,94;11;12/2/2014 12:25;1;9
10081;31;76;12,489;12,4893;41,9025;41,9028;12,48915;41,90265;12,48916522;41,9027335;27;2;2,4;17,86;11;12/2/2014 12:25;1;9
10215;31;77;12,489;12,4893;41,9028;41,9031;12,48915;41,90295;12,48911758;41,90286428;15;2;2,42;17,69;11;12/2/2014 12:25;1;9
10082;32;76;12,4893;12,4896;41,9025;41,9028;12,48945;41,90265;12,4893198;41,90274811;3;2;2,41;17,77;11;12/2/2014 12:25;1;9
9940;24;75;12,4869;12,4872;41,9022;41,9025;12,48705;41,90235;12,48704787;41,90238461;18;2;2,21;19,14;11;12/2/2014 12:25;1;9
9939;23;75;12,4866;12,4869;41,9022;41,9025;12,48675;41,90235;12,48675;41,90233371;21;2;2,18;19,34;11;12/2/2014 12:25;1;9
9938;22;75;12,4863;12,4866;41,9022;41,9025;12,48645;41,90235;12,48644524;41,90228196;18;2;2,07;20,03;11;12/2/2014 12:25;1;9
9937;21;75;12,486;12,4863;41,9022;41,9025;12,48615;41,90235;12,48614904;41,9023853;21;2;1,87;21,36;11;12/2/2014 12:25;1;9
10070;20;76;12,4857;12,486;41,9025;41,9028;12,48585;41,90265;12,48585871;41,90261781;24;2;1,7;22,42;11;12/2/2014 12:25;1;9
10995;7;83;12,4818;12,4821;41,9046;41,9049;12,48195;41,90475;12,48184109;41,90467551;8;1;1,82;24;14;12/2/2014 12:25;1;9
10337;19;78;12,4854;12,4857;41,9031;41,9034;12,48555;41,90325;12,48552942;41,90323448;18;2;1,22;25,59;11;12/2/2014 12:25;1;9
10471;19;79;12,4854;12,4857;41,9034;41,9037;12,48555;41,90355;12,48555306;41,9035462;21;2;1,08;26,51;11;12/2/2014 12:25;1;9
6701;1;51;12,48;12,4803;41,895;41,8953;12,48015;41,89515;12,48006413;41,89506004;10;2;7;27,35;12;12/2/2014 12:25;1;9
17464;44;131;12,4929;12,4932;41,919;41,9193;12,49305;41,91915;12,49296387;41,91910586;14;2;4,67;16,64;12;12/2/2014 12:25;1;9
17058;40;128;12,4917;12,492;41,9181;41,9184;12,49185;41,91825;12,49186743;41,9181494;7;2;1,62;17,56;13;12/2/2014 12:25;1;9
11960;34;90;12,4899;12,4902;41,9067;41,907;12,49005;41,90685;12,49016953;41,90699005;4;2;0,29;34,24;9;12/2/2014 12:25;1;9
12508;46;94;12,4935;12,4938;41,9079;41,9082;12,49365;41,90805;12,49362175;41,9079973;11;1;2;6;5;12/2/2014 12:25;1;9
10875;21;82;12,486;12,4863;41,9043;41,9046;12,48615;41,90445;12,48617834;41,90452695;28;3;0,55;29,99;15;12/2/2014 12:25;1;9
17463;43;131;12,4926;12,4929;41,919;41,9193;12,49275;41,91915;12,49288001;41,91926594;4;2;3,11;6,12;4;12/2/2014 12:25;1;9
7112;10;54;12,4827;12,483;41,8959;41,8962;12,48285;41,89605;12,48277827;41,8960847;77;3;0,01;29,89;3;12/2/2014 12:25;1;9
11678;20;88;12,4857;12,486;41,9061;41,9064;12,48585;41,90625;12,48587425;41,90627475;9;2;10,89;22,65;13;12/2/2014 12:25;1;9
10743;23;81;12,4866;12,4869;41,904;41,9043;12,48675;41,90415;12,48674795;41,90420341;28;3;0,4;30,93;14;12/2/2014 12:25;1;9
10478;26;79;12,4875;12,4878;41,9034;41,9037;12,48765;41,90355;12,48770715;41,90361928;19;3;0,04;33;9;12/2/2014 12:25;1;9
