id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
77;8;4;-122,4045;-122,4042;37,7897;37,79;-122,40435;37,78985;-122,4043427;37,78977299;6;1;13,88;13,94;14;2/6/2008 13:13;1;15
158;20;7;-122,4009;-122,4006;37,7906;37,7909;-122,40075;37,79075;-122,4006888;37,79075678;78;7;0,32;25,32;12;2/6/2008 13:13;1;15
343;21;15;-122,4006;-122,4003;37,793;37,7933;-122,40045;37,79315;-122,4004581;37,79315385;47;7;5;32,78;13;2/6/2008 13:13;1;15
346;24;15;-122,3997;-122,3994;37,793;37,7933;-122,39955;37,79315;-122,399543;37,79326357;72;11;5;31;16;2/6/2008 13:13;1;15
76;7;4;-122,4048;-122,4045;37,7897;37,79;-122,40465;37,78985;-122,4046402;37,78973579;7;1;13,79;13,87;14;2/6/2008 13:13;1;15
4;4;1;-122,4057;-122,4054;37,7888;37,7891;-122,40555;37,78895;-122,4056978;37,78909636;3;1;4,97;24,44;13;2/6/2008 13:13;1;15
75;6;4;-122,4051;-122,4048;37,7897;37,79;-122,40495;37,78985;-122,4048462;37,78971004;2;1;13,77;13,78;14;2/6/2008 13:13;1;15
27;4;2;-122,4057;-122,4054;37,7891;37,7894;-122,40555;37,78925;-122,4055576;37,78911495;15;1;5,15;24,3;13;2/6/2008 13:13;1;15
242;35;10;-122,3964;-122,3961;37,7915;37,7918;-122,39625;37,79165;-122,3963294;37,79156391;24;6;1,19;26,41;12;2/6/2008 13:13;1;15
52;6;3;-122,4051;-122,4048;37,7894;37,7897;-122,40495;37,78955;-122,4049976;37,78968692;4;1;13,57;13,69;14;2/6/2008 13:13;1;15
344;22;15;-122,4003;-122,4;37,793;37,7933;-122,40015;37,79315;-122,4001537;37,79319134;49;7;5;31,47;13;2/6/2008 13:13;1;15
341;19;15;-122,4012;-122,4009;37,793;37,7933;-122,40105;37,79315;-122,4010771;37,79309295;56;10;5;20,22;11;2/6/2008 13:13;1;15
219;35;9;-122,3964;-122,3961;37,7912;37,7915;-122,39625;37,79135;-122,3961754;37,79143842;24;6;1,17;26,25;12;2/6/2008 13:13;1;15
517;11;23;-122,4036;-122,4033;37,7954;37,7957;-122,40345;37,79555;-122,4034042;37,7956049;20;4;3,4;20,11;15;2/6/2008 13:13;1;15
426;12;19;-122,4033;-122,403;37,7942;37,7945;-122,40315;37,79435;-122,403096;37,79436264;21;3;10,27;21,9;17;2/6/2008 13:13;1;15
261;8;12;-122,4045;-122,4042;37,7921;37,7924;-122,40435;37,79225;-122,4043351;37,79224579;66;10;0,36;42,26;13;2/6/2008 13:13;1;15
403;12;18;-122,4033;-122,403;37,7939;37,7942;-122,40315;37,79405;-122,4030329;37,794057;18;3;9,48;21,71;17;2/6/2008 13:13;1;15
84;15;4;-122,4024;-122,4021;37,7897;37,79;-122,40225;37,78985;-122,4021829;37,78985298;12;2;1,09;26,86;14;2/6/2008 13:13;1;15
368;23;16;-122,4;-122,3997;37,7933;37,7936;-122,39985;37,79345;-122,3999939;37,7933197;1;1;21,4;21,4;21;2/6/2008 13:14;1;15
27;27;1;-122,3988;-122,3985;37,7888;37,7891;-122,39865;37,78895;-122,3986644;37,78891996;32;4;9;23,45;18;2/6/2008 13:14;1;15
284;31;12;-122,3976;-122,3973;37,7921;37,7924;-122,39745;37,79225;-122,3973465;37,7923584;12;5;1,28;27,44;15;2/6/2008 13:14;1;15
318;19;14;-122,4012;-122,4009;37,7927;37,793;-122,40105;37,79285;-122,4011046;37,7928548;45;6;5;20,94;12;2/6/2008 13:14;1;15
450;13;20;-122,403;-122,4027;37,7945;37,7948;-122,40285;37,79465;-122,4028528;37,79472418;12;2;7,67;22,6;15;2/6/2008 13:14;1;15
285;32;12;-122,3973;-122,397;37,7921;37,7924;-122,39715;37,79225;-122,3971474;37,79220148;48;5;1,27;27,23;15;2/6/2008 13:14;1;15
125;33;5;-122,397;-122,3967;37,79;37,7903;-122,39685;37,79015;-122,3969594;37,79027721;7;3;1;32,48;15;2/6/2008 13:14;1;15
451;14;20;-122,4027;-122,4024;37,7945;37,7948;-122,40255;37,79465;-122,4025604;37,79476433;12;2;7,63;23,13;15;2/6/2008 13:14;1;15
295;19;13;-122,4012;-122,4009;37,7924;37,7927;-122,40105;37,79255;-122,401042;37,79254865;50;7;2,39;21,22;12;2/6/2008 13:14;1;15
263;33;11;-122,397;-122,3967;37,7918;37,7921;-122,39685;37,79195;-122,3968688;37,79198746;48;5;1,23;27,09;14;2/6/2008 13:14;1;15
61;15;3;-122,4024;-122,4021;37,7894;37,7897;-122,40225;37,78955;-122,4021281;37,78958096;13;2;1;26,91;14;2/6/2008 13:14;1;15
264;34;11;-122,3967;-122,3964;37,7918;37,7921;-122,39655;37,79195;-122,3966789;37,79184278;10;5;1,22;26,69;13;2/6/2008 13:14;1;15
62;16;3;-122,4021;-122,4018;37,7894;37,7897;-122,40195;37,78955;-122,4019642;37,78950458;25;2;1;27;13;2/6/2008 13:14;1;15
241;34;10;-122,3967;-122,3964;37,7915;37,7918;-122,39655;37,79165;-122,396526;37,79171599;30;5;1,2;26,63;13;2/6/2008 13:14;1;15
247;17;11;-122,4018;-122,4015;37,7918;37,7921;-122,40165;37,79195;-122,4016866;37,79203233;8;2;12,84;15,09;14;2/6/2008 13:14;1;15
63;17;3;-122,4018;-122,4015;37,7894;37,7897;-122,40165;37,78955;-122,4017398;37,78945626;6;2;4;27;13;2/6/2008 13:14;1;15
329;7;15;-122,4048;-122,4045;37,793;37,7933;-122,40465;37,79315;-122,4045275;37,79315389;6;1;14,51;14,8;15;2/6/2008 13:14;1;15
11;11;1;-122,4036;-122,4033;37,7888;37,7891;-122,40345;37,78895;-122,4034479;37,7889292;7;1;24,59;24,61;25;2/6/2008 13:14;1;15
12;12;1;-122,4033;-122,403;37,7888;37,7891;-122,40315;37,78895;-122,4031476;37,78896915;6;1;24,61;24,62;25;2/6/2008 13:14;1;15
375;7;17;-122,4048;-122,4045;37,7936;37,7939;-122,40465;37,79375;-122,4046423;37,7937497;6;1;15,32;15,81;16;2/6/2008 13:14;1;15
13;13;1;-122,403;-122,4027;37,7888;37,7891;-122,40285;37,78895;-122,4028558;37,78900587;7;1;24,62;24,68;25;2/6/2008 13:14;1;15
39;16;2;-122,4021;-122,4018;37,7891;37,7894;-122,40195;37,78925;-122,4020549;37,78926009;15;3;12;26,39;19;2/6/2008 13:14;1;15
14;14;1;-122,4027;-122,4024;37,7888;37,7891;-122,40255;37,78895;-122,402562;37,7890379;5;1;24,68;24,75;25;2/6/2008 13:14;1;15
367;22;16;-122,4003;-122,4;37,7933;37,7936;-122,40015;37,79345;-122,4000225;37,79346132;10;2;3,39;21,1;12;2/6/2008 13:14;1;15
398;7;18;-122,4048;-122,4045;37,7939;37,7942;-122,40465;37,79405;-122,4047041;37,79406048;7;1;15,91;16,51;16;2/6/2008 13:14;1;15
272;19;12;-122,4012;-122,4009;37,7921;37,7924;-122,40105;37,79225;-122,4009775;37,79223015;38;8;2,5;22,3;12;2/6/2008 13:14;1;15
15;15;1;-122,4024;-122,4021;37,7888;37,7891;-122,40225;37,78895;-122,402238;37,78905487;7;1;24,76;25;25;2/6/2008 13:14;1;15
421;7;19;-122,4048;-122,4045;37,7942;37,7945;-122,40465;37,79435;-122,4047071;37,79442263;14;2;1,89;18,81;16;2/6/2008 13:14;1;15
262;9;12;-122,4042;-122,4039;37,7921;37,7924;-122,40405;37,79225;-122,4040649;37,79219213;8;2;0,12;18,8;14;2/6/2008 13:14;1;15
495;12;22;-122,4033;-122,403;37,7951;37,7954;-122,40315;37,79525;-122,4032691;37,79526997;15;2;12,81;18,52;16;2/6/2008 13:14;1;15
16;16;1;-122,4021;-122,4018;37,7888;37,7891;-122,40195;37,78895;-122,4020015;37,78894388;26;3;16,63;25,62;24;2/6/2008 13:14;1;15
204;20;9;-122,4009;-122,4006;37,7912;37,7915;-122,40075;37,79135;-122,4008102;37,79137611;24;4;11,11;23,85;16;2/6/2008 13:14;1;15
307;8;14;-122,4045;-122,4042;37,7927;37,793;-122,40435;37,79285;-122,404469;37,7928566;14;2;9,87;14,45;12;2/6/2008 13:14;1;15
227;20;10;-122,4009;-122,4006;37,7915;37,7918;-122,40075;37,79165;-122,4008652;37,79165535;24;4;11,32;23,64;16;2/6/2008 13:14;1;15
