id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
125;10;6;-122,4039;-122,4036;37,7903;37,7906;-122,40375;37,79045;-122,4037278;37,79031067;12;2;14,89;21;17;2/6/2008 13:01;1;11
153;15;7;-122,4024;-122,4021;37,7906;37,7909;-122,40225;37,79075;-122,4023612;37,79074558;12;2;6,86;23,47;15;2/6/2008 13:01;1;11
8;8;1;-122,4045;-122,4042;37,7888;37,7891;-122,40435;37,78895;-122,4043231;37,7888176;16;3;8,69;27,81;17;2/6/2008 13:01;1;11
441;27;19;-122,3988;-122,3985;37,7942;37,7945;-122,39865;37,79435;-122,3986606;37,79433677;14;2;11;21,41;16;2/6/2008 13:01;1;11
377;9;17;-122,4042;-122,4039;37,7936;37,7939;-122,40405;37,79375;-122,4040785;37,79364551;19;3;9,76;19,01;14;2/6/2008 13:01;1;11
130;15;6;-122,4024;-122,4021;37,7903;37,7906;-122,40225;37,79045;-122,4023021;37,79045709;12;2;6,68;23,4;15;2/6/2008 13:01;1;11
80;11;4;-122,4036;-122,4033;37,7897;37,79;-122,40345;37,78985;-122,4034447;37,78988493;37;5;5,57;23,39;15;2/6/2008 13:01;1;11
347;2;16;-122,4063;-122,406;37,7933;37,7936;-122,40615;37,79345;-122,4061629;37,79338512;6;1;19,13;19,15;19;2/6/2008 13:01;1;11
363;18;16;-122,4015;-122,4012;37,7933;37,7936;-122,40135;37,79345;-122,4012493;37,79348461;35;7;6,76;26,45;13;2/6/2008 13:01;1;11
412;21;18;-122,4006;-122,4003;37,7939;37,7942;-122,40045;37,79405;-122,4004544;37,7941071;24;4;5,81;28,38;19;2/6/2008 13:01;1;11
376;8;17;-122,4045;-122,4042;37,7936;37,7939;-122,40435;37,79375;-122,404335;37,79361607;15;3;10,13;19,03;14;2/6/2008 13:01;1;11
411;20;18;-122,4009;-122,4006;37,7939;37,7942;-122,40075;37,79405;-122,4007383;37,7940728;22;4;5,74;28,79;19;2/6/2008 13:01;1;11
407;16;18;-122,4021;-122,4018;37,7939;37,7942;-122,40195;37,79405;-122,4019515;37,79391774;18;3;8,54;18,82;12;2/6/2008 13:01;1;11
353;8;16;-122,4045;-122,4042;37,7933;37,7936;-122,40435;37,79345;-122,4044724;37,79359759;3;3;10,41;19,03;14;2/6/2008 13:01;1;11
326;27;14;-122,3988;-122,3985;37,7927;37,793;-122,39865;37,79285;-122,3986928;37,79283917;31;5;10,27;16;13;2/6/2008 13:01;1;11
483;23;21;-122,4;-122,3997;37,7948;37,7951;-122,39985;37,79495;-122,3999209;37,7950841;12;3;9,38;16,67;12;2/6/2008 13:01;1;11
370;25;16;-122,3994;-122,3991;37,7933;37,7936;-122,39925;37,79345;-122,3992084;37,79331138;50;9;9,97;19,5;14;2/6/2008 13:01;1;11
347;25;15;-122,3994;-122,3991;37,793;37,7933;-122,39925;37,79315;-122,399365;37,79329196;20;9;9,96;19,49;14;2/6/2008 13:01;1;11
107;15;5;-122,4024;-122,4021;37,79;37,7903;-122,40225;37,79015;-122,4022541;37,79008894;32;6;6,1;23,34;16;2/6/2008 13:01;1;11
371;26;16;-122,3991;-122,3988;37,7933;37,7936;-122,39895;37,79345;-122,3989529;37,7933513;64;9;9,99;19,51;15;2/6/2008 13:01;1;11
158;20;7;-122,4009;-122,4006;37,7906;37,7909;-122,40075;37,79075;-122,4006901;37,79076338;18;3;11,37;20,44;15;2/6/2008 13:01;1;11
81;12;4;-122,4033;-122,403;37,7897;37,79;-122,40315;37,78985;-122,4031472;37,78992438;36;5;5,66;23,33;16;2/6/2008 13:01;1;11
445;8;20;-122,4045;-122,4042;37,7945;37,7948;-122,40435;37,79465;-122,4043429;37,7945156;18;3;13,48;14,62;14;2/6/2008 13:02;1;11
381;13;17;-122,403;-122,4027;37,7936;37,7939;-122,40285;37,79375;-122,4029116;37,79375878;50;6;8,76;21,77;14;2/6/2008 13:02;1;11
447;10;20;-122,4039;-122,4036;37,7945;37,7948;-122,40375;37,79465;-122,4037405;37,79459211;24;3;13,72;15;14;2/6/2008 13:02;1;11
16;16;1;-122,4021;-122,4018;37,7888;37,7891;-122,40195;37,78895;-122,402002;37,78895569;25;4;5,33;31,16;18;2/6/2008 13:02;1;11
13;13;1;-122,403;-122,4027;37,7888;37,7891;-122,40285;37,78895;-122,4028415;37,78900728;17;3;5,22;30,88;14;2/6/2008 13:02;1;11
358;13;16;-122,403;-122,4027;37,7933;37,7936;-122,40285;37,79345;-122,4029015;37,79343228;32;5;8,86;21,76;14;2/6/2008 13:02;1;11
9;9;1;-122,4042;-122,4039;37,7888;37,7891;-122,40405;37,78895;-122,4040523;37,78885675;21;3;7,93;27,66;17;2/6/2008 13:02;1;11
