id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
217;10;10;-122,4039;-122,4036;37,7915;37,7918;-122,40375;37,79165;-122,4037422;37,79176004;19;3;0,02;23,78;13;2/6/2008 12:55;1;9
212;5;10;-122,4054;-122,4051;37,7915;37,7918;-122,40525;37,79165;-122,4052477;37,79156828;6;1;14,42;15,1;15;2/6/2008 12:55;1;9
342;20;15;-122,4009;-122,4006;37,793;37,7933;-122,40075;37,79315;-122,4007541;37,79311538;48;8;0,66;21;13;2/6/2008 12:55;1;9
78;9;4;-122,4042;-122,4039;37,7897;37,79;-122,40405;37,78985;-122,404046;37,78980974;13;3;11,84;17,08;14;2/6/2008 12:55;1;9
52;6;3;-122,4051;-122,4048;37,7894;37,7897;-122,40495;37,78955;-122,4049976;37,78968692;8;2;10,74;15,79;13;2/6/2008 12:55;1;9
242;12;11;-122,4033;-122,403;37,7918;37,7921;-122,40315;37,79195;-122,4031479;37,79183561;20;3;0,28;23,67;12;2/6/2008 12:55;1;9
416;2;19;-122,4063;-122,406;37,7942;37,7945;-122,40615;37,79435;-122,4061362;37,79429181;12;2;9,99;14,96;13;2/6/2008 12:55;1;9
211;4;10;-122,4057;-122,4054;37,7915;37,7918;-122,40555;37,79165;-122,4055315;37,79153087;6;1;13,05;14,28;14;2/6/2008 12:55;1;9
221;14;10;-122,4027;-122,4024;37,7915;37,7918;-122,40255;37,79165;-122,4025459;37,79165459;30;5;14,12;18,58;17;2/6/2008 12:55;1;9
512;6;23;-122,4051;-122,4048;37,7954;37,7957;-122,40495;37,79555;-122,4050036;37,79554836;35;5;3,41;25;16;2/6/2008 12:55;1;9
51;5;3;-122,4054;-122,4051;37,7894;37,7897;-122,40525;37,78955;-122,4052556;37,78963075;14;2;9,23;15,41;12;2/6/2008 12:55;1;9
390;22;17;-122,4003;-122,4;37,7936;37,7939;-122,40015;37,79375;-122,4000695;37,79371678;11;2;16,83;17,51;17;2/6/2008 12:55;1;9
218;11;10;-122,4036;-122,4033;37,7915;37,7918;-122,40345;37,79165;-122,4035025;37,7917908;12;3;0,13;23,72;12;2/6/2008 12:55;1;9
210;3;10;-122,406;-122,4057;37,7915;37,7918;-122,40585;37,79165;-122,4057535;37,79150705;3;1;12,27;12,77;13;2/6/2008 12:55;1;9
187;3;9;-122,406;-122,4057;37,7912;37,7915;-122,40585;37,79135;-122,4059219;37,79148293;4;1;11,33;12,03;12;2/6/2008 12:55;1;9
177;16;8;-122,4021;-122,4018;37,7909;37,7912;-122,40195;37,79105;-122,4019527;37,79103844;24;4;7,74;17,91;14;2/6/2008 12:55;1;9
96;4;5;-122,4057;-122,4054;37,79;37,7903;-122,40555;37,79015;-122,4055382;37,79014896;21;3;1,94;24,2;13;2/6/2008 12:55;1;9
116;1;6;-122,4066;-122,4063;37,7903;37,7906;-122,40645;37,79045;-122,4064473;37,79045813;35;5;1,5;27,46;13;2/6/2008 12:55;1;9
375;7;17;-122,4048;-122,4045;37,7936;37,7939;-122,40465;37,79375;-122,4046423;37,7937497;30;5;9,95;24,6;16;2/6/2008 12:55;1;9
73;4;4;-122,4057;-122,4054;37,7897;37,79;-122,40555;37,78985;-122,4054728;37,78982997;18;3;2,09;23,05;13;2/6/2008 12:55;1;9
15;15;1;-122,4024;-122,4021;37,7888;37,7891;-122,40225;37,78895;-122,4022511;37,78906873;50;7;0,72;20,75;12;2/6/2008 12:55;1;9
117;2;6;-122,4063;-122,406;37,7903;37,7906;-122,40615;37,79045;-122,4061241;37,79050255;30;5;1,58;26,82;13;2/6/2008 12:55;1;9
