id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
419;5;19;-122,4054;-122,4051;37,7942;37,7945;-122,40525;37,79435;-122,4052503;37,79440086;14;2;13;23,99;18;2/6/2008 12:37;1;3
459;22;20;-122,4003;-122,4;37,7945;37,7948;-122,40015;37,79465;-122,4002281;37,79462232;39;5;5,14;21;13;2/6/2008 12:37;1;3
436;22;19;-122,4003;-122,4;37,7942;37,7945;-122,40015;37,79435;-122,4001979;37,7943416;27;4;4,4;20,7;12;2/6/2008 12:37;1;3
83;14;4;-122,4027;-122,4024;37,7897;37,79;-122,40255;37,78985;-122,4026459;37,78998871;18;5;15,52;32,37;22;2/6/2008 12:37;1;3
394;26;17;-122,3991;-122,3988;37,7936;37,7939;-122,39895;37,79375;-122,3988891;37,79375531;37;5;5,34;22,65;15;2/6/2008 12:37;1;3
9;9;1;-122,4042;-122,4039;37,7888;37,7891;-122,40405;37,78895;-122,4040473;37,7888563;23;4;9,85;19,17;15;2/6/2008 12:37;1;3
8;8;1;-122,4045;-122,4042;37,7888;37,7891;-122,40435;37,78895;-122,4043144;37,78881873;20;4;10,13;19,28;15;2/6/2008 12:37;1;3
82;13;4;-122,403;-122,4027;37,7897;37,79;-122,40285;37,78985;-122,4028622;37,78996124;36;5;15,47;32;22;2/6/2008 12:37;1;3
407;16;18;-122,4021;-122,4018;37,7939;37,7942;-122,40195;37,79405;-122,4019449;37,79391839;19;4;7,26;22;16;2/6/2008 12:37;1;3
80;11;4;-122,4036;-122,4033;37,7897;37,79;-122,40345;37,78985;-122,4034486;37,78988768;45;5;15,4;30,78;22;2/6/2008 12:37;1;3
450;13;20;-122,403;-122,4027;37,7945;37,7948;-122,40285;37,79465;-122,4028528;37,79472418;12;2;7,11;24,68;16;2/6/2008 12:37;1;3
