id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
517;11;23;-122,4036;-122,4033;37,7954;37,7957;-122,40345;37,79555;-122,4034243;37,79556939;20;3;11,65;23,14;16;2/6/2008 13:10;1;14
205;21;9;-122,4006;-122,4003;37,7912;37,7915;-122,40045;37,79135;-122,4004652;37,79121694;6;1;12,07;12,24;12;2/6/2008 13:10;1;14
101;9;5;-122,4042;-122,4039;37,79;37,7903;-122,40405;37,79015;-122,4039276;37,7901379;67;10;5,92;39,17;16;2/6/2008 13:10;1;14
510;27;22;-122,3988;-122,3985;37,7951;37,7954;-122,39865;37,79525;-122,3986648;37,79526564;30;5;3,54;18,68;12;2/6/2008 13:10;1;14
381;13;17;-122,403;-122,4027;37,7936;37,7939;-122,40285;37,79375;-122,4029309;37,7937554;37;5;2,99;23,41;12;2/6/2008 13:10;1;14
76;7;4;-122,4048;-122,4045;37,7897;37,79;-122,40465;37,78985;-122,4046402;37,78973579;35;4;3,98;31,6;13;2/6/2008 13:10;1;14
335;13;15;-122,403;-122,4027;37,793;37,7933;-122,40285;37,79315;-122,4028458;37,79314194;28;4;3,08;17,32;11;2/6/2008 13:10;1;14
79;10;4;-122,4039;-122,4036;37,7897;37,79;-122,40375;37,78985;-122,4038588;37,78984769;54;14;1,79;38,85;15;2/6/2008 13:10;1;14
429;15;19;-122,4024;-122,4021;37,7942;37,7945;-122,40225;37,79435;-122,4022749;37,79435755;13;2;7,51;20,98;14;2/6/2008 13:10;1;14
75;6;4;-122,4051;-122,4048;37,7897;37,79;-122,40495;37,78985;-122,4048462;37,78971004;10;4;3,94;30,73;13;2/6/2008 13:10;1;14
206;22;9;-122,4003;-122,4;37,7912;37,7915;-122,40015;37,79135;-122,4001559;37,79125543;7;1;12,28;12,6;12;2/6/2008 13:10;1;14
35;35;1;-122,3964;-122,3961;37,7888;37,7891;-122,39625;37,78895;-122,3963545;37,78885746;12;9;3,62;36,77;16;2/6/2008 13:10;1;14
55;32;2;-122,3973;-122,397;37,7891;37,7894;-122,39715;37,78925;-122,3970375;37,7893486;27;8;3,81;35,37;18;2/6/2008 13:10;1;14
511;28;22;-122,3985;-122,3982;37,7951;37,7954;-122,39835;37,79525;-122,3983552;37,79530256;35;5;3,75;17,95;12;2/6/2008 13:10;1;14
509;26;22;-122,3991;-122,3988;37,7951;37,7954;-122,39895;37,79525;-122,3989736;37,79522735;34;6;3,19;19,91;12;2/6/2008 13:10;1;14
124;9;6;-122,4042;-122,4039;37,7903;37,7906;-122,40405;37,79045;-122,4039932;37,79046298;55;9;5,29;39,73;15;2/6/2008 13:10;1;14
52;6;3;-122,4051;-122,4048;37,7894;37,7897;-122,40495;37,78955;-122,4049976;37,78968692;20;4;3,56;29,74;13;2/6/2008 13:10;1;14
142;27;6;-122,3988;-122,3985;37,7903;37,7906;-122,39865;37,79045;-122,3985904;37,79054177;29;7;1;32,12;14;2/6/2008 13:10;1;14
56;33;2;-122,397;-122,3967;37,7891;37,7894;-122,39685;37,78925;-122,396862;37,78920994;72;8;3,75;35,81;18;2/6/2008 13:10;1;14
174;13;8;-122,403;-122,4027;37,7909;37,7912;-122,40285;37,79105;-122,4028701;37,79092507;27;6;1;18;13;2/6/2008 13:10;1;14
383;15;17;-122,4024;-122,4021;37,7936;37,7939;-122,40225;37,79375;-122,4022327;37,79388187;17;3;6,12;21,67;15;2/6/2008 13:10;1;14
207;23;9;-122,4;-122,3997;37,7912;37,7915;-122,39985;37,79135;-122,3998502;37,79127986;6;1;12,68;13,12;13;2/6/2008 13:10;1;14
34;34;1;-122,3967;-122,3964;37,7888;37,7891;-122,39655;37,78895;-122,3965569;37,78896351;94;9;3,63;36,68;18;2/6/2008 13:11;1;14
379;11;17;-122,4036;-122,4033;37,7936;37,7939;-122,40345;37,79375;-122,4034592;37,7937233;7;1;23,3;23,32;23;2/6/2008 13:11;1;14
463;26;20;-122,3991;-122,3988;37,7945;37,7948;-122,39895;37,79465;-122,3990337;37,79468644;24;3;12,83;23;18;2/6/2008 13:11;1;14
147;9;7;-122,4042;-122,4039;37,7906;37,7909;-122,40405;37,79075;-122,4040404;37,79074596;77;12;2;57,89;19;2/6/2008 13:11;1;14
100;31;4;-122,3976;-122,3973;37,7897;37,79;-122,39745;37,78985;-122,3974931;37,7898061;47;10;2;34,13;13;2/6/2008 13:11;1;14
495;12;22;-122,4033;-122,403;37,7951;37,7954;-122,40315;37,79525;-122,4032621;37,79524088;12;2;11,44;22,46;17;2/6/2008 13:11;1;14
28;28;1;-122,3985;-122,3982;37,7888;37,7891;-122,39835;37,78895;-122,3984731;37,78907267;10;5;4,78;34,72;12;2/6/2008 13:11;1;14
485;25;21;-122,3994;-122,3991;37,7948;37,7951;-122,39925;37,79495;-122,3991255;37,79496869;16;3;12,62;21,86;16;2/6/2008 13:11;1;14
486;26;21;-122,3991;-122,3988;37,7948;37,7951;-122,39895;37,79495;-122,3990965;37,79481808;3;3;12,79;21,98;16;2/6/2008 13:11;1;14
378;10;17;-122,4039;-122,4036;37,7936;37,7939;-122,40375;37,79375;-122,40376;37,79368858;6;1;23,27;23,29;23;2/6/2008 13:11;1;14
33;33;1;-122,397;-122,3967;37,7888;37,7891;-122,39685;37,78895;-122,3967469;37,78885336;6;1;18,18;20,52;19;2/6/2008 13:11;1;14
172;34;7;-122,3967;-122,3964;37,7906;37,7909;-122,39655;37,79075;-122,396467;37,79065531;9;3;2,08;22,95;13;2/6/2008 13:11;1;14
51;28;2;-122,3985;-122,3982;37,7891;37,7894;-122,39835;37,78925;-122,3983045;37,78920492;35;5;4,8;34,66;12;2/6/2008 13:11;1;14
173;35;7;-122,3964;-122,3961;37,7906;37,7909;-122,39625;37,79075;-122,3962827;37,79080132;21;3;2,08;22,89;13;2/6/2008 13:11;1;14
196;35;8;-122,3964;-122,3961;37,7909;37,7912;-122,39625;37,79105;-122,3961291;37,79092244;3;3;2,09;22,74;12;2/6/2008 13:11;1;14
233;3;11;-122,406;-122,4057;37,7918;37,7921;-122,40585;37,79195;-122,4058527;37,7919605;14;2;7,22;31,04;18;2/6/2008 13:11;1;14
52;29;2;-122,3982;-122,3979;37,7891;37,7894;-122,39805;37,78925;-122,398112;37,78935485;20;5;4,93;34,41;12;2/6/2008 13:11;1;14
75;29;3;-122,3982;-122,3979;37,7894;37,7897;-122,39805;37,78955;-122,3979696;37,7894676;20;5;4,95;34,38;12;2/6/2008 13:11;1;14
76;30;3;-122,3979;-122,3976;37,7894;37,7897;-122,39775;37,78955;-122,3977915;37,78960853;30;5;4,96;34,34;13;2/6/2008 13:11;1;14
256;3;12;-122,406;-122,4057;37,7921;37,7924;-122,40585;37,79225;-122,4059137;37,79225614;12;2;7,04;34,5;20;2/6/2008 13:11;1;14
151;13;7;-122,403;-122,4027;37,7906;37,7909;-122,40285;37,79075;-122,4028015;37,79088974;1;1;14;14;14;2/6/2008 13:11;1;14
210;3;10;-122,406;-122,4057;37,7915;37,7918;-122,40585;37,79165;-122,4058035;37,79164051;28;4;4,04;27;14;2/6/2008 13:11;1;14
221;14;10;-122,4027;-122,4024;37,7915;37,7918;-122,40255;37,79165;-122,4025459;37,79165459;18;3;3,6;27,73;14;2/6/2008 13:11;1;14
208;1;10;-122,4066;-122,4063;37,7915;37,7918;-122,40645;37,79165;-122,4063559;37,79171198;6;1;12;20,18;15;2/6/2008 13:11;1;14
359;14;16;-122,4027;-122,4024;37,7933;37,7936;-122,40255;37,79345;-122,4025527;37,7935808;3;2;6;20;15;2/6/2008 13:11;1;14
78;9;4;-122,4042;-122,4039;37,7897;37,79;-122,40405;37,78985;-122,4040479;37,78981855;19;4;4,3;34,96;14;2/6/2008 13:11;1;14
209;2;10;-122,4063;-122,406;37,7915;37,7918;-122,40615;37,79165;-122,4061307;37,79173799;12;1;12,89;24,27;18;2/6/2008 13:11;1;14
20;20;1;-122,4009;-122,4006;37,7888;37,7891;-122,40075;37,78895;-122,4007543;37,78890813;18;3;5,82;22,35;12;2/6/2008 13:11;1;14
21;21;1;-122,4006;-122,4003;37,7888;37,7891;-122,40045;37,78895;-122,4005394;37,78905449;8;2;5,79;22,5;14;2/6/2008 13:11;1;14
382;14;17;-122,4027;-122,4024;37,7936;37,7939;-122,40255;37,79375;-122,4025715;37,79379606;23;2;6;20,36;13;2/6/2008 13:11;1;14
