id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
371;26;16;-122,3991;-122,3988;37,7933;37,7936;-122,39895;37,79345;-122,3989618;37,79334256;78;11;4,29;28,96;16;2/6/2008 13:25;1;19
370;25;16;-122,3994;-122,3991;37,7933;37,7936;-122,39925;37,79345;-122,3992093;37,79331136;65;11;4,98;28,79;16;2/6/2008 13:25;1;19
516;10;23;-122,4039;-122,4036;37,7954;37,7957;-122,40375;37,79555;-122,4037557;37,79547143;12;2;8,64;18,67;13;2/6/2008 13:25;1;19
143;28;6;-122,3985;-122,3982;37,7903;37,7906;-122,39835;37,79045;-122,3983587;37,79040427;78;9;7,72;29,72;14;2/6/2008 13:25;1;19
122;30;5;-122,3979;-122,3976;37,79;37,7903;-122,39775;37,79015;-122,3978799;37,79002076;23;9;7,66;29,78;15;2/6/2008 13:25;1;19
55;32;2;-122,3973;-122,397;37,7891;37,7894;-122,39715;37,78925;-122,397039;37,78934993;23;7;4,21;30,2;14;2/6/2008 13:25;1;19
318;19;14;-122,4012;-122,4009;37,7927;37,793;-122,40105;37,79285;-122,4011072;37,79286282;30;4;11,53;23,44;16;2/6/2008 13:25;1;19
515;9;23;-122,4042;-122,4039;37,7954;37,7957;-122,40405;37,79555;-122,4040368;37,79543476;15;2;8,8;19;14;2/6/2008 13:25;1;19
346;24;15;-122,3997;-122,3994;37,793;37,7933;-122,39955;37,79315;-122,399543;37,79327014;81;11;5,28;28,71;16;2/6/2008 13:25;1;19
164;26;7;-122,3991;-122,3988;37,7906;37,7909;-122,39895;37,79075;-122,3989002;37,79083804;46;7;7,93;29,53;14;2/6/2008 13:25;1;19
313;14;14;-122,4027;-122,4024;37,7927;37,793;-122,40255;37,79285;-122,4025615;37,79288634;47;6;12;35,1;19;2/6/2008 13:25;1;19
295;19;13;-122,4012;-122,4009;37,7924;37,7927;-122,40105;37,79255;-122,4010462;37,79255764;35;4;11,25;23,74;16;2/6/2008 13:25;1;19
