id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
148;10;7;-122,4039;-122,4036;37,7906;37,7909;-122,40375;37,79075;-122,403743;37,79080226;98;12;1,22;69,42;15;2/6/2008 12:46;1;6
175;14;8;-122,4027;-122,4024;37,7909;37,7912;-122,40255;37,79105;-122,402528;37,79098261;104;12;1,04;72,12;14;2/6/2008 12:46;1;6
50;4;3;-122,4057;-122,4054;37,7894;37,7897;-122,40555;37,78955;-122,4055208;37,78960211;46;9;3,42;26;15;2/6/2008 12:46;1;6
449;12;20;-122,4033;-122,403;37,7945;37,7948;-122,40315;37,79465;-122,4031556;37,79464639;64;8;2;59,41;17;2/6/2008 12:46;1;6
350;28;15;-122,3985;-122,3982;37,793;37,7933;-122,39835;37,79315;-122,3982925;37,79321365;5;1;1;17,24;14;2/6/2008 12:46;1;6
418;4;19;-122,4057;-122,4054;37,7942;37,7945;-122,40555;37,79435;-122,4055481;37,79436166;7;1;15,3;15,62;15;2/6/2008 12:46;1;6
314;15;14;-122,4024;-122,4021;37,7927;37,793;-122,40225;37,79285;-122,4022373;37,79292475;51;8;9,24;20,67;14;2/6/2008 12:46;1;6
174;13;8;-122,403;-122,4027;37,7909;37,7912;-122,40285;37,79105;-122,402863;37,79092567;71;11;1,1;71,18;16;2/6/2008 12:46;1;6
149;11;7;-122,4036;-122,4033;37,7906;37,7909;-122,40345;37,79075;-122,4034418;37,79084357;87;12;1,2;69,71;14;2/6/2008 12:46;1;6
150;12;7;-122,4033;-122,403;37,7906;37,7909;-122,40315;37,79075;-122,4031619;37,79088118;86;12;1;70,01;14;2/6/2008 12:46;1;6
426;12;19;-122,4033;-122,403;37,7942;37,7945;-122,40315;37,79435;-122,403095;37,79436318;63;7;2,29;56,66;18;2/6/2008 12:46;1;6
475;15;21;-122,4024;-122,4021;37,7948;37,7951;-122,40225;37,79495;-122,4021346;37,79480712;8;4;9,33;18,61;13;2/6/2008 12:46;1;6
48;2;3;-122,4063;-122,406;37,7894;37,7897;-122,40615;37,78955;-122,4061629;37,7895385;24;4;4,48;26;17;2/6/2008 12:47;1;6
403;12;18;-122,4033;-122,403;37,7939;37,7942;-122,40315;37,79405;-122,4030329;37,794057;54;7;2,18;54,48;18;2/6/2008 12:47;1;6
176;15;8;-122,4024;-122,4021;37,7909;37,7912;-122,40225;37,79105;-122,4022801;37,7909805;41;12;0,99;72,82;17;2/6/2008 12:47;1;6
381;13;17;-122,403;-122,4027;37,7936;37,7939;-122,40285;37,79375;-122,4029712;37,7937603;51;7;2,12;52,44;17;2/6/2008 12:47;1;6
313;14;14;-122,4027;-122,4024;37,7927;37,793;-122,40255;37,79285;-122,4025657;37,79288392;55;8;9,31;22;15;2/6/2008 12:47;1;6
472;12;21;-122,4033;-122,403;37,7948;37,7951;-122,40315;37,79495;-122,4031992;37,79495717;57;6;1,5;64;21;2/6/2008 12:47;1;6
358;13;16;-122,403;-122,4027;37,7933;37,7936;-122,40285;37,79345;-122,4029057;37,79344206;36;6;6,98;30,72;16;2/6/2008 12:47;1;6
47;1;3;-122,4066;-122,4063;37,7894;37,7897;-122,40645;37,78955;-122,4064474;37,78950582;26;4;4,65;26;17;2/6/2008 12:47;1;6
467;7;21;-122,4048;-122,4045;37,7948;37,7951;-122,40465;37,79495;-122,4046655;37,79491623;36;4;0,13;57,11;22;2/6/2008 12:47;1;6
335;13;15;-122,403;-122,4027;37,793;37,7933;-122,40285;37,79315;-122,4028458;37,79314194;42;6;5,96;31,03;15;2/6/2008 12:47;1;6
458;21;20;-122,4006;-122,4003;37,7945;37,7948;-122,40045;37,79465;-122,4004272;37,79469223;5;1;15,87;16;16;2/6/2008 12:47;1;6
49;3;3;-122,406;-122,4057;37,7894;37,7897;-122,40585;37,78955;-122,4058561;37,78957825;33;5;4,26;26;17;2/6/2008 12:47;1;6
177;16;8;-122,4021;-122,4018;37,7909;37,7912;-122,40195;37,79105;-122,4019518;37,79103819;30;5;0,95;73,39;19;2/6/2008 12:47;1;6
380;12;17;-122,4033;-122,403;37,7936;37,7939;-122,40315;37,79375;-122,4031487;37,79376411;18;2;1,97;51,32;23;2/6/2008 12:47;1;6
468;8;21;-122,4045;-122,4042;37,7948;37,7951;-122,40435;37,79495;-122,404351;37,79492661;24;3;0,09;57,76;23;2/6/2008 12:47;1;6
379;11;17;-122,4036;-122,4033;37,7936;37,7939;-122,40345;37,79375;-122,4034592;37,7937233;21;2;1,87;48,71;23;2/6/2008 12:47;1;6
419;5;19;-122,4054;-122,4051;37,7942;37,7945;-122,40525;37,79435;-122,4052442;37,79440292;6;1;15,19;15,26;15;2/6/2008 12:47;1;6
469;9;21;-122,4042;-122,4039;37,7948;37,7951;-122,40405;37,79495;-122,4040539;37,79496379;28;3;0,05;58,51;23;2/6/2008 12:47;1;6
378;10;17;-122,4039;-122,4036;37,7936;37,7939;-122,40375;37,79375;-122,40376;37,79368858;18;2;1,8;47,28;23;2/6/2008 12:47;1;6
181;20;8;-122,4009;-122,4006;37,7909;37,7912;-122,40075;37,79105;-122,4007637;37,79107563;48;7;0,43;80,61;16;2/6/2008 12:47;1;6
178;17;8;-122,4018;-122,4015;37,7909;37,7912;-122,40165;37,79105;-122,4016495;37,79106927;36;5;0,91;73,99;18;2/6/2008 12:47;1;6
470;10;21;-122,4039;-122,4036;37,7948;37,7951;-122,40375;37,79495;-122,4037506;37,7950014;25;3;0,01;59,15;23;2/6/2008 12:47;1;6
377;9;17;-122,4042;-122,4039;37,7936;37,7939;-122,40405;37,79375;-122,4040666;37,79365017;27;3;1,71;46,06;24;2/6/2008 12:47;1;6
494;11;22;-122,4036;-122,4033;37,7951;37,7954;-122,40345;37,79525;-122,4033763;37,79527537;3;1;15,03;16;16;2/6/2008 12:47;1;6
376;8;17;-122,4045;-122,4042;37,7936;37,7939;-122,40435;37,79375;-122,404335;37,79361607;20;3;1,64;44,47;24;2/6/2008 12:47;1;6
420;6;19;-122,4051;-122,4048;37,7942;37,7945;-122,40495;37,79435;-122,4049543;37,79443916;6;1;15,09;15,17;15;2/6/2008 12:47;1;6
179;18;8;-122,4015;-122,4012;37,7909;37,7912;-122,40135;37,79105;-122,4013301;37,79110361;33;5;0,8;75,55;17;2/6/2008 12:47;1;6
180;19;8;-122,4012;-122,4009;37,7909;37,7912;-122,40105;37,79105;-122,401058;37,79114675;17;5;0,65;77,72;22;2/6/2008 12:47;1;6
332;10;15;-122,4039;-122,4036;37,793;37,7933;-122,40375;37,79315;-122,4038908;37,79304949;2;1;25,53;25,58;26;2/6/2008 12:47;1;6
331;9;15;-122,4042;-122,4039;37,793;37,7933;-122,40405;37,79315;-122,4039205;37,79320526;5;1;25,63;25,82;26;2/6/2008 12:47;1;6
354;9;16;-122,4042;-122,4039;37,7933;37,7936;-122,40405;37,79345;-122,4039704;37,79345322;6;1;25,87;26,18;26;2/6/2008 12:47;1;6
322;23;14;-122,4;-122,3997;37,7927;37,793;-122,39985;37,79285;-122,3999038;37,79285908;7;1;16,49;16,62;17;2/6/2008 12:47;1;6
299;23;13;-122,4;-122,3997;37,7924;37,7927;-122,39985;37,79255;-122,3998394;37,79254754;6;1;16,67;16,84;17;2/6/2008 12:47;1;6
226;19;10;-122,4012;-122,4009;37,7915;37,7918;-122,40105;37,79165;-122,4009171;37,79169846;1;1;16;16;16;2/6/2008 12:47;1;6
276;23;12;-122,4;-122,3997;37,7921;37,7924;-122,39985;37,79225;-122,3997791;37,79224815;5;1;16,89;17,14;17;2/6/2008 12:47;1;6
142;4;7;-122,4057;-122,4054;37,7906;37,7909;-122,40555;37,79075;-122,4055862;37,79063416;2;1;15;17;16;2/6/2008 12:47;1;6
253;23;11;-122,4;-122,3997;37,7918;37,7921;-122,39985;37,79195;-122,3997283;37,79199076;4;1;17,16;17,33;17;2/6/2008 12:47;1;6
283;30;12;-122,3979;-122,3976;37,7921;37,7924;-122,39775;37,79225;-122,397789;37,79238129;1;1;22;22;22;2/6/2008 12:47;1;6
140;25;6;-122,3994;-122,3991;37,7903;37,7906;-122,39925;37,79045;-122,3992493;37,7903389;3;1;24,89;25;25;2/6/2008 12:47;1;6
509;26;22;-122,3991;-122,3988;37,7951;37,7954;-122,39895;37,79525;-122,3989677;37,7952281;12;2;9,84;12,1;11;2/6/2008 12:46;2;6
146;8;7;-122,4045;-122,4042;37,7906;37,7909;-122,40435;37,79075;-122,4043439;37,7907383;33;5;4,75;16,4;9;2/6/2008 12:46;2;6
504;21;22;-122,4006;-122,4003;37,7951;37,7954;-122,40045;37,79525;-122,4003813;37,79528034;16;2;8,13;13,89;12;2/6/2008 12:46;2;6
375;30;16;-122,3979;-122,3976;37,7933;37,7936;-122,39775;37,79345;-122,3977246;37,7934943;47;10;0,73;17,5;8;2/6/2008 12:46;2;6
510;27;22;-122,3988;-122,3985;37,7951;37,7954;-122,39865;37,79525;-122,3986648;37,79526564;12;2;10,13;11,62;11;2/6/2008 12:46;2;6
374;29;16;-122,3982;-122,3979;37,7933;37,7936;-122,39805;37,79345;-122,3980446;37,79346005;37;6;1,27;13,48;6;2/6/2008 12:46;2;6
511;28;22;-122,3985;-122,3982;37,7951;37,7954;-122,39835;37,79525;-122,3983552;37,79530256;14;2;10,3;11,34;11;2/6/2008 12:46;2;6
373;28;16;-122,3985;-122,3982;37,7933;37,7936;-122,39835;37,79345;-122,3983576;37,79342404;54;6;1;17,7;9;2/6/2008 12:46;2;6
339;17;15;-122,4018;-122,4015;37,793;37,7933;-122,40165;37,79315;-122,401578;37,79300855;17;6;6;15,97;11;2/6/2008 12:46;2;6
132;17;6;-122,4018;-122,4015;37,7903;37,7906;-122,40165;37,79045;-122,4016304;37,79036077;3;1;8;8;8;2/6/2008 12:46;2;6
316;17;14;-122,4018;-122,4015;37,7927;37,793;-122,40165;37,79285;-122,4017055;37,79298355;18;6;6,45;16,46;12;2/6/2008 12:46;2;6
444;30;19;-122,3979;-122,3976;37,7942;37,7945;-122,39775;37,79435;-122,3977641;37,79440212;36;5;0,02;14,61;4;2/6/2008 12:46;2;6
512;29;22;-122,3982;-122,3979;37,7951;37,7954;-122,39805;37,79525;-122,3980419;37,79529444;13;2;10;10,93;11;2/6/2008 12:46;2;6
489;29;21;-122,3982;-122,3979;37,7948;37,7951;-122,39805;37,79495;-122,3979263;37,7949969;5;1;9,8;9,96;10;2/6/2008 12:46;2;6
390;22;17;-122,4003;-122,4;37,7936;37,7939;-122,40015;37,79375;-122,4000797;37,79374729;42;6;1,46;15,92;11;2/6/2008 12:46;2;6
446;32;19;-122,3973;-122,397;37,7942;37,7945;-122,39715;37,79435;-122,3972778;37,79432487;5;1;0,02;0,07;0;2/6/2008 12:46;2;6
452;15;20;-122,4024;-122,4021;37,7945;37,7948;-122,40225;37,79465;-122,4023072;37,79476054;25;4;9,43;19,68;13;2/6/2008 12:46;2;6
490;30;21;-122,3979;-122,3976;37,7948;37,7951;-122,39775;37,79495;-122,397892;37,79483414;2;1;9,41;9,76;10;2/6/2008 12:46;2;6
367;22;16;-122,4003;-122,4;37,7933;37,7936;-122,40015;37,79345;-122,4000225;37,79346132;30;6;1,35;15,99;11;2/6/2008 12:46;2;6
368;23;16;-122,4;-122,3997;37,7933;37,7936;-122,39985;37,79345;-122,3999939;37,7933197;6;6;1,33;16;11;2/6/2008 12:47;2;6
513;30;22;-122,3979;-122,3976;37,7951;37,7954;-122,39775;37,79525;-122,3977631;37,79535223;6;1;11,03;11,09;11;2/6/2008 12:47;2;6
514;31;22;-122,3976;-122,3973;37,7951;37,7954;-122,39745;37,79525;-122,3975047;37,79538426;5;1;11,1;11,14;11;2/6/2008 12:47;2;6
537;31;23;-122,3976;-122,3973;37,7954;37,7957;-122,39745;37,79555;-122,3973403;37,79540464;2;1;11,15;11,16;11;2/6/2008 12:47;2;6
538;32;23;-122,3973;-122,397;37,7954;37,7957;-122,39715;37,79555;-122,3971523;37,79542792;6;1;11,17;11,23;11;2/6/2008 12:47;2;6
200;16;9;-122,4021;-122,4018;37,7912;37,7915;-122,40195;37,79135;-122,4020958;37,79139709;2;1;7;7,04;7;2/6/2008 12:47;2;6
222;15;10;-122,4024;-122,4021;37,7915;37,7918;-122,40225;37,79165;-122,4021348;37,79163233;14;1;7;7,28;7;2/6/2008 12:47;2;6
