id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
372;4;17;-122,4057;-122,4054;37,7936;37,7939;-122,40555;37,79375;-122,4056778;37,79389675;2;2;15,84;17,29;17;2/6/2008 12:58;1;10
417;3;19;-122,406;-122,4057;37,7942;37,7945;-122,40585;37,79435;-122,4058261;37,79434811;14;3;6,8;15,69;14;2/6/2008 12:58;1;10
289;13;13;-122,403;-122,4027;37,7924;37,7927;-122,40285;37,79255;-122,4027252;37,79256821;20;3;10,08;19,42;16;2/6/2008 12:58;1;10
371;3;17;-122,406;-122,4057;37,7936;37,7939;-122,40585;37,79375;-122,4058609;37,79387479;14;2;15,81;17,27;17;2/6/2008 12:58;1;10
370;2;17;-122,4063;-122,406;37,7936;37,7939;-122,40615;37,79375;-122,4061527;37,79384733;12;2;15,74;17,16;16;2/6/2008 12:58;1;10
290;14;13;-122,4027;-122,4024;37,7924;37,7927;-122,40255;37,79255;-122,4026966;37,79242516;4;3;10,04;19,43;16;2/6/2008 12:58;1;10
120;5;6;-122,4054;-122,4051;37,7903;37,7906;-122,40525;37,79045;-122,4053692;37,79059686;3;3;13,05;16,43;15;2/6/2008 12:58;1;10
450;13;20;-122,403;-122,4027;37,7945;37,7948;-122,40285;37,79465;-122,4028571;37,79471786;45;7;9,47;22,44;15;2/6/2008 12:58;1;10
445;8;20;-122,4045;-122,4042;37,7945;37,7948;-122,40435;37,79465;-122,404345;37,79451508;24;4;4,6;24,53;14;2/6/2008 12:58;1;10
143;5;7;-122,4054;-122,4051;37,7906;37,7909;-122,40525;37,79075;-122,4052344;37,79061339;15;3;12,8;16,42;15;2/6/2008 12:58;1;10
267;14;12;-122,4027;-122,4024;37,7921;37,7924;-122,40255;37,79225;-122,4026613;37,792243;28;3;9,77;19,55;16;2/6/2008 12:58;1;10
446;9;20;-122,4042;-122,4039;37,7945;37,7948;-122,40405;37,79465;-122,4040509;37,79455014;28;4;4,3;24,4;14;2/6/2008 12:58;1;10
149;11;7;-122,4036;-122,4033;37,7906;37,7909;-122,40345;37,79075;-122,4034467;37,79084319;39;7;4,17;20,33;13;2/6/2008 12:58;1;10
447;10;20;-122,4039;-122,4036;37,7945;37,7948;-122,40375;37,79465;-122,4037568;37,7945852;24;4;4,05;24,25;13;2/6/2008 12:58;1;10
477;17;21;-122,4018;-122,4015;37,7948;37,7951;-122,40165;37,79495;-122,4016205;37,79487688;52;8;5,66;19,55;14;2/6/2008 12:58;1;10
144;6;7;-122,4051;-122,4048;37,7906;37,7909;-122,40495;37,79075;-122,4049649;37,79064645;21;3;12,46;16,35;15;2/6/2008 12:58;1;10
449;12;20;-122,4033;-122,403;37,7945;37,7948;-122,40315;37,79465;-122,4031308;37,7946897;41;8;1,22;23,98;14;2/6/2008 12:58;1;10
393;2;18;-122,4063;-122,406;37,7939;37,7942;-122,40615;37,79405;-122,4062745;37,79404395;12;2;15,62;16,65;16;2/6/2008 12:58;1;10
448;11;20;-122,4036;-122,4033;37,7945;37,7948;-122,40345;37,79465;-122,4034626;37,79462025;28;4;3,75;24,13;13;2/6/2008 12:58;1;10
186;25;8;-122,3994;-122,3991;37,7909;37,7912;-122,39925;37,79105;-122,3992213;37,79109805;35;6;9,84;16,77;14;2/6/2008 12:58;1;10
130;15;6;-122,4024;-122,4021;37,7903;37,7906;-122,40225;37,79045;-122,4023008;37,79045044;28;5;4,85;20,72;15;2/6/2008 12:58;1;10
146;8;7;-122,4045;-122,4042;37,7906;37,7909;-122,40435;37,79075;-122,4043338;37,79074364;25;4;9,32;17,61;15;2/6/2008 12:58;1;10
516;33;22;-122,397;-122,3967;37,7951;37,7954;-122,39685;37,79525;-122,3967754;37,79523591;17;2;4,5;26,7;17;2/6/2008 12:58;1;10
415;1;19;-122,4066;-122,4063;37,7942;37,7945;-122,40645;37,79435;-122,4063138;37,79424449;4;2;15,59;16,26;16;2/6/2008 12:58;1;10
455;18;20;-122,4015;-122,4012;37,7945;37,7948;-122,40135;37,79465;-122,4014681;37,79465173;22;6;7,21;18,84;14;2/6/2008 12:58;1;10
106;14;5;-122,4027;-122,4024;37,79;37,7903;-122,40255;37,79015;-122,4025075;37,79004959;23;5;5,41;18,72;13;2/6/2008 12:58;1;10
