id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
20;20;1;-122,4009;-122,4006;37,7888;37,7891;-122,40075;37,78895;-122,4007195;37,78893005;9;2;14,09;15,38;15;2/6/2008 12:31;1;1
142;27;6;-122,3988;-122,3985;37,7903;37,7906;-122,39865;37,79045;-122,3985955;37,79054021;13;2;14,41;20,63;16;2/6/2008 12:31;1;1
44;21;2;-122,4006;-122,4003;37,7891;37,7894;-122,40045;37,78925;-122,4003864;37,78917313;4;1;15,16;15,19;15;2/6/2008 12:31;1;1
45;22;2;-122,4003;-122,4;37,7891;37,7894;-122,40015;37,78925;-122,4002059;37,78931713;6;1;15,2;15,21;15;2/6/2008 12:31;1;1
68;22;3;-122,4003;-122,4;37,7894;37,7897;-122,40015;37,78955;-122,400044;37,78944588;3;1;15,22;15,22;15;2/6/2008 12:31;1;1
69;23;3;-122,4;-122,3997;37,7894;37,7897;-122,39985;37,78955;-122,3998642;37,78958893;7;1;15,23;15,24;15;2/6/2008 12:31;1;1
92;23;4;-122,4;-122,3997;37,7897;37,79;-122,39985;37,78985;-122,3997203;37,78970337;1;1;15,25;15,25;15;2/6/2008 12:31;1;1
93;24;4;-122,3997;-122,3994;37,7897;37,79;-122,39955;37,78985;-122,3995585;37,78983212;8;1;15,25;15,27;15;2/6/2008 12:31;1;1
10;10;1;-122,4039;-122,4036;37,7888;37,7891;-122,40375;37,78895;-122,4037336;37,78893232;105;12;0,75;24,1;11;2/6/2008 12:31;1;1
56;10;3;-122,4039;-122,4036;37,7894;37,7897;-122,40375;37,78955;-122,4038074;37,78954149;63;10;1,91;19,92;11;2/6/2008 12:31;1;1
94;25;4;-122,3994;-122,3991;37,7897;37,79;-122,39925;37,78985;-122,3993786;37,78997517;2;1;15,28;15,28;15;2/6/2008 12:31;1;1
117;25;5;-122,3994;-122,3991;37,79;37,7903;-122,39925;37,79015;-122,3992301;37,79009257;6;1;15,29;15,31;15;2/6/2008 12:31;1;1
118;26;5;-122,3991;-122,3988;37,79;37,7903;-122,39895;37,79015;-122,3990436;37,79023986;4;1;15,32;15,34;15;2/6/2008 12:31;1;1
141;26;6;-122,3991;-122,3988;37,7903;37,7906;-122,39895;37,79045;-122,3988758;37,79037242;5;1;15,34;15,36;15;2/6/2008 12:31;1;1
500;17;22;-122,4018;-122,4015;37,7951;37,7954;-122,40165;37,79525;-122,4016009;37,7952776;14;2;16,38;19;18;2/6/2008 12:31;1;1
315;16;14;-122,4021;-122,4018;37,7927;37,793;-122,40195;37,79285;-122,401948;37,79296175;33;6;11,7;18,57;16;2/6/2008 12:31;1;1
143;28;6;-122,3985;-122,3982;37,7903;37,7906;-122,39835;37,79045;-122,3983587;37,79040427;18;2;14,15;20,52;17;2/6/2008 12:31;1;1
338;16;15;-122,4021;-122,4018;37,793;37,7933;-122,40195;37,79315;-122,4020165;37,79314402;14;3;11;19,73;16;2/6/2008 12:31;1;1
285;9;13;-122,4042;-122,4039;37,7924;37,7927;-122,40405;37,79255;-122,4041141;37,7926791;27;6;4,9;14,7;11;2/6/2008 12:31;1;1
14;14;1;-122,4027;-122,4024;37,7888;37,7891;-122,40255;37,78895;-122,402562;37,7890379;20;4;0,58;23,5;14;2/6/2008 12:31;1;1
120;28;5;-122,3985;-122,3982;37,79;37,7903;-122,39835;37,79015;-122,3982239;37,79029737;3;2;14,13;20,32;17;2/6/2008 12:31;1;1
34;34;1;-122,3967;-122,3964;37,7888;37,7891;-122,39655;37,78895;-122,3965581;37,78896514;36;4;0,66;18,94;12;2/6/2008 12:31;1;1
121;29;5;-122,3982;-122,3979;37,79;37,7903;-122,39805;37,79015;-122,3980589;37,79016552;24;2;14;20,31;17;2/6/2008 12:31;1;1
122;30;5;-122,3979;-122,3976;37,79;37,7903;-122,39775;37,79015;-122,3978806;37,79002126;6;2;13,97;20,2;17;2/6/2008 12:31;1;1
478;18;21;-122,4015;-122,4012;37,7948;37,7951;-122,40135;37,79495;-122,401343;37,79486879;12;2;10,09;14,68;12;2/6/2008 12:31;1;1
472;12;21;-122,4033;-122,403;37,7948;37,7951;-122,40315;37,79495;-122,4032191;37,79497761;8;2;8;11,87;11;2/6/2008 12:31;1;1
35;35;1;-122,3964;-122,3961;37,7888;37,7891;-122,39625;37,78895;-122,3963674;37,78881582;4;4;1,01;18,54;12;2/6/2008 12:31;1;1
479;19;21;-122,4012;-122,4009;37,7948;37,7951;-122,40105;37,79495;-122,401029;37,79490113;12;2;10,32;14,71;13;2/6/2008 12:31;1;1
210;3;10;-122,406;-122,4057;37,7915;37,7918;-122,40585;37,79165;-122,4057864;37,79159406;23;5;1,49;29,67;16;2/6/2008 12:31;1;1
523;17;23;-122,4018;-122,4015;37,7954;37,7957;-122,40165;37,79555;-122,4016469;37,79552593;10;2;16,9;18,32;18;2/6/2008 12:31;1;1
480;20;21;-122,4009;-122,4006;37,7948;37,7951;-122,40075;37,79495;-122,4007416;37,79493384;12;2;10,44;14,72;13;2/6/2008 12:31;1;1
481;21;21;-122,4006;-122,4003;37,7948;37,7951;-122,40045;37,79495;-122,4004235;37,79495135;16;2;10,51;14,8;13;2/6/2008 12:32;1;1
99;30;4;-122,3979;-122,3976;37,7897;37,79;-122,39775;37,78985;-122,3977056;37,7898581;24;4;3,51;20,18;16;2/6/2008 12:32;1;1
459;22;20;-122,4003;-122,4;37,7945;37,7948;-122,40015;37,79465;-122,400261;37,79465445;12;2;10,99;14,83;13;2/6/2008 12:32;1;1
234;4;11;-122,4057;-122,4054;37,7918;37,7921;-122,40555;37,79195;-122,4055438;37,7919516;23;3;3,69;24,71;16;2/6/2008 12:32;1;1
100;31;4;-122,3976;-122,3973;37,7897;37,79;-122,39745;37,78985;-122,3974933;37,78982075;19;4;3,61;21;16;2/6/2008 12:32;1;1
436;22;19;-122,4003;-122,4;37,7942;37,7945;-122,40015;37,79435;-122,400198;37,79434492;14;2;11,12;14,88;13;2/6/2008 12:32;1;1
211;4;10;-122,4057;-122,4054;37,7915;37,7918;-122,40555;37,79165;-122,4055316;37,79158677;33;4;3,81;24,28;15;2/6/2008 12:32;1;1
390;22;17;-122,4003;-122,4;37,7936;37,7939;-122,40015;37,79375;-122,4001125;37,79374463;16;2;11,67;14,96;13;2/6/2008 12:32;1;1
77;31;3;-122,3976;-122,3973;37,7894;37,7897;-122,39745;37,78955;-122,3973991;37,78963604;12;3;3,8;19,72;14;2/6/2008 12:32;1;1
257;4;12;-122,4057;-122,4054;37,7921;37,7924;-122,40555;37,79225;-122,4056143;37,79224542;12;2;3,59;16,55;10;2/6/2008 12:32;1;1
413;22;18;-122,4003;-122,4;37,7939;37,7942;-122,40015;37,79405;-122,4001366;37,79404125;10;2;11,47;14,94;13;2/6/2008 12:32;1;1
75;29;3;-122,3982;-122,3979;37,7894;37,7897;-122,39805;37,78955;-122,3979696;37,7894676;12;3;3,45;18,98;13;2/6/2008 12:32;1;1
51;28;2;-122,3985;-122,3982;37,7891;37,7894;-122,39835;37,78925;-122,3983045;37,78920492;21;3;3,29;18,81;13;2/6/2008 12:32;1;1
