id;grupo_long;grupo_lat;lon_minima;lon_maxima;lat_minima;lat_maxima;ccentro_lon;ccentro_lat;pcentro_lon;pcentro_lat;cant_puntos;cant_vehiculos;vel_min;vel_max;vel_prom;tiempo;grupo;ciclo
82;13;4;-122,403;-122,4027;37,7897;37,79;-122,40285;37,78985;-122,4028622;37,78996124;60;9;7,38;23,1;16;2/6/2008 12:34;1;2
15;15;1;-122,4024;-122,4021;37,7888;37,7891;-122,40225;37,78895;-122,4022623;37,78907293;32;5;3,38;17,93;14;2/6/2008 12:34;1;2
81;12;4;-122,4033;-122,403;37,7897;37,79;-122,40315;37,78985;-122,4031472;37,78992438;60;9;7,41;22,82;16;2/6/2008 12:34;1;2
372;27;16;-122,3988;-122,3985;37,7933;37,7936;-122,39865;37,79345;-122,398693;37,79337452;80;8;3,08;21,4;11;2/6/2008 12:34;1;2
379;34;16;-122,3967;-122,3964;37,7933;37,7936;-122,39655;37,79345;-122,3964417;37,79346028;9;2;12,45;18,75;14;2/6/2008 12:34;1;2
27;27;1;-122,3988;-122,3985;37,7888;37,7891;-122,39865;37,78895;-122,3986644;37,78891996;40;5;1,65;22,51;12;2/6/2008 12:34;1;2
284;8;13;-122,4045;-122,4042;37,7924;37,7927;-122,40435;37,79255;-122,4043734;37,79260973;91;12;2,37;27,8;12;2/6/2008 12:34;1;2
375;30;16;-122,3979;-122,3976;37,7933;37,7936;-122,39775;37,79345;-122,397701;37,79348487;87;11;0,57;17,5;11;2/6/2008 12:34;1;2
80;11;4;-122,4036;-122,4033;37,7897;37,79;-122,40345;37,78985;-122,403451;37,78988409;70;9;7,43;22,74;16;2/6/2008 12:34;1;2
158;20;7;-122,4009;-122,4006;37,7906;37,7909;-122,40075;37,79075;-122,4006907;37,79074335;38;5;7,97;22,91;13;2/6/2008 12:34;1;2
316;17;14;-122,4018;-122,4015;37,7927;37,793;-122,40165;37,79285;-122,4017334;37,79298782;9;3;8,64;23,11;13;2/6/2008 12:34;1;2
172;34;7;-122,3967;-122,3964;37,7906;37,7909;-122,39655;37,79075;-122,39648;37,79065608;20;6;6,19;21,76;14;2/6/2008 12:34;1;2
339;17;15;-122,4018;-122,4015;37,793;37,7933;-122,40165;37,79315;-122,4015915;37,79300613;9;3;8,65;23,02;13;2/6/2008 12:34;1;2
28;28;1;-122,3985;-122,3982;37,7888;37,7891;-122,39835;37,78895;-122,3984731;37,78907267;10;5;1,68;22,24;12;2/6/2008 12:34;1;2
318;19;14;-122,4012;-122,4009;37,7927;37,793;-122,40105;37,79285;-122,4011069;37,79286225;36;5;3,2;27,59;12;2/6/2008 12:34;1;2
413;22;18;-122,4003;-122,4;37,7939;37,7942;-122,40015;37,79405;-122,4002011;37,79413482;14;3;2,75;21;16;2/6/2008 12:34;1;2
340;18;15;-122,4015;-122,4012;37,793;37,7933;-122,40135;37,79315;-122,4013536;37,79303714;21;3;8,57;22,92;13;2/6/2008 12:34;1;2
276;23;12;-122,4;-122,3997;37,7921;37,7924;-122,39985;37,79225;-122,3998642;37,79224915;21;3;11,87;25,87;17;2/6/2008 12:34;1;2
180;19;8;-122,4012;-122,4009;37,7909;37,7912;-122,40105;37,79105;-122,4010568;37,79112958;43;8;5;20,71;11;2/6/2008 12:34;1;2
285;9;13;-122,4042;-122,4039;37,7924;37,7927;-122,40405;37,79255;-122,4041128;37,79269099;32;8;3,59;26,9;12;2/6/2008 12:34;1;2
78;9;4;-122,4042;-122,4039;37,7897;37,79;-122,40405;37,78985;-122,4040559;37,78980859;30;5;2,3;22,89;17;2/6/2008 12:34;1;2
303;27;13;-122,3988;-122,3985;37,7924;37,7927;-122,39865;37,79255;-122,3986291;37,79251316;64;8;9,36;24,7;15;2/6/2008 12:34;1;2
275;22;12;-122,4003;-122,4;37,7921;37,7924;-122,40015;37,79225;-122,4001398;37,79221482;18;3;13,46;25,98;18;2/6/2008 12:34;1;2
504;21;22;-122,4006;-122,4003;37,7951;37,7954;-122,40045;37,79525;-122,4003817;37,79528248;21;4;1,32;18,83;11;2/6/2008 12:34;1;2
274;21;12;-122,4006;-122,4003;37,7921;37,7924;-122,40045;37,79225;-122,4004431;37,79217887;21;3;13,64;26,04;18;2/6/2008 12:34;1;2
16;16;1;-122,4021;-122,4018;37,7888;37,7891;-122,40195;37,78895;-122,4020029;37,78897202;48;6;1,12;41;18;2/6/2008 12:34;1;2
308;9;14;-122,4042;-122,4039;37,7927;37,793;-122,40405;37,79285;-122,4039661;37,79271272;17;8;3,75;26,66;12;2/6/2008 12:34;1;2
273;20;12;-122,4009;-122,4006;37,7921;37,7924;-122,40075;37,79225;-122,4007468;37,79214323;18;3;13,55;26,09;18;2/6/2008 12:34;1;2
326;27;14;-122,3988;-122,3985;37,7927;37,793;-122,39865;37,79285;-122,3986916;37,79284416;42;5;11,13;20,64;14;2/6/2008 12:34;1;2
349;27;15;-122,3988;-122,3985;37,793;37,7933;-122,39865;37,79315;-122,3987469;37,79314062;51;5;9,91;20,8;14;2/6/2008 12:34;1;2
353;31;15;-122,3976;-122,3973;37,793;37,7933;-122,39745;37,79315;-122,3975499;37,79315711;47;6;9,88;18,25;14;2/6/2008 12:34;1;2
309;10;14;-122,4039;-122,4036;37,7927;37,793;-122,40375;37,79285;-122,4037918;37,79277073;59;8;3,12;26,36;11;2/6/2008 12:34;1;2
412;21;18;-122,4006;-122,4003;37,7939;37,7942;-122,40045;37,79405;-122,4004552;37,7941071;18;3;2,73;20,58;13;2/6/2008 12:34;1;2
307;31;13;-122,3976;-122,3973;37,7924;37,7927;-122,39745;37,79255;-122,3974538;37,79257018;54;6;8,25;19,5;13;2/6/2008 12:35;1;2
411;20;18;-122,4009;-122,4006;37,7939;37,7942;-122,40075;37,79405;-122,4007462;37,79407158;18;3;2,72;20,26;13;2/6/2008 12:35;1;2
439;25;19;-122,3994;-122,3991;37,7942;37,7945;-122,39925;37,79435;-122,3992555;37,7942555;6;1;17,31;17,87;18;2/6/2008 12:35;1;2
410;19;18;-122,4012;-122,4009;37,7939;37,7942;-122,40105;37,79405;-122,4010503;37,79403356;21;3;2,7;20,12;13;2/6/2008 12:35;1;2
330;31;14;-122,3976;-122,3973;37,7927;37,793;-122,39745;37,79285;-122,3974905;37,79285208;48;6;9,55;18,9;14;2/6/2008 12:35;1;2
443;6;20;-122,4051;-122,4048;37,7945;37,7948;-122,40495;37,79465;-122,4048277;37,79461009;15;3;3,1;23,75;13;2/6/2008 12:35;1;2
527;21;23;-122,4006;-122,4003;37,7954;37,7957;-122,40045;37,79555;-122,4004223;37,79552914;22;4;1,27;19,29;11;2/6/2008 12:35;1;2
332;10;15;-122,4039;-122,4036;37,793;37,7933;-122,40375;37,79315;-122,4038873;37,79303672;6;3;9,07;12,66;11;2/6/2008 12:35;1;2
438;24;19;-122,3997;-122,3994;37,7942;37,7945;-122,39955;37,79435;-122,399533;37,7942183;6;1;17,99;18,55;18;2/6/2008 12:35;1;2
381;13;17;-122,403;-122,4027;37,7936;37,7939;-122,40285;37,79375;-122,4029208;37,79375909;39;5;9,62;27,95;15;2/6/2008 12:35;1;2
331;9;15;-122,4042;-122,4039;37,793;37,7933;-122,40405;37,79315;-122,4039189;37,79319937;15;3;9,28;12,61;11;2/6/2008 12:35;1;2
409;18;18;-122,4015;-122,4012;37,7939;37,7942;-122,40135;37,79405;-122,4013482;37,79402227;28;5;2,65;19,96;12;2/6/2008 12:35;1;2
358;13;16;-122,403;-122,4027;37,7933;37,7936;-122,40285;37,79345;-122,4029057;37,79344206;24;4;9,52;21,63;15;2/6/2008 12:35;1;2
415;24;18;-122,3997;-122,3994;37,7939;37,7942;-122,39955;37,79405;-122,3996949;37,79419661;1;1;18,66;18,66;19;2/6/2008 12:35;1;2
335;13;15;-122,403;-122,4027;37,793;37,7933;-122,40285;37,79315;-122,4028458;37,79314194;28;4;9,42;22,27;15;2/6/2008 12:35;1;2
386;18;17;-122,4015;-122,4012;37,7936;37,7939;-122,40135;37,79375;-122,401285;37,79375038;10;2;16,15;18,83;17;2/6/2008 12:35;1;2
160;22;7;-122,4003;-122,4;37,7906;37,7909;-122,40015;37,79075;-122,4000799;37,79086346;2;1;12;12,05;12;2/6/2008 12:35;1;2
183;22;8;-122,4003;-122,4;37,7909;37,7912;-122,40015;37,79105;-122,4000969;37,79104996;6;1;12,1;12,35;12;2/6/2008 12:35;1;2
124;32;5;-122,3973;-122,397;37,79;37,7903;-122,39715;37,79015;-122,3971234;37,79014263;20;3;0,01;17,65;13;2/6/2008 12:35;1;2
414;23;18;-122,4;-122,3997;37,7939;37,7942;-122,39985;37,79405;-122,3998399;37,79412994;11;1;18,38;19;19;2/6/2008 12:35;1;2
355;10;16;-122,4039;-122,4036;37,7933;37,7936;-122,40375;37,79345;-122,4037649;37,7933654;40;3;9,89;12,58;12;2/6/2008 12:35;1;2
539;33;23;-122,397;-122,3967;37,7954;37,7957;-122,39685;37,79555;-122,3968099;37,79550056;12;3;2,65;14,9;11;2/6/2008 12:35;1;2
377;9;17;-122,4042;-122,4039;37,7936;37,7939;-122,40405;37,79375;-122,4040811;37,7936445;25;4;9,4;28,68;16;2/6/2008 12:35;1;2
408;17;18;-122,4018;-122,4015;37,7939;37,7942;-122,40165;37,79405;-122,4016702;37,79395637;12;2;10,19;15,68;13;2/6/2008 12:35;1;2
352;7;16;-122,4048;-122,4045;37,7933;37,7936;-122,40465;37,79345;-122,4045946;37,79351571;30;6;8,57;29,07;14;2/6/2008 12:35;1;2
305;29;13;-122,3982;-122,3979;37,7924;37,7927;-122,39805;37,79255;-122,3980485;37,79248664;15;3;12,29;18,92;16;2/6/2008 12:35;1;2
407;16;18;-122,4021;-122,4018;37,7939;37,7942;-122,40195;37,79405;-122,4019515;37,79391774;12;2;10,15;15,34;13;2/6/2008 12:35;1;2
354;9;16;-122,4042;-122,4039;37,7933;37,7936;-122,40405;37,79345;-122,4039669;37,79343687;21;3;9,78;12,74;11;2/6/2008 12:35;1;2
376;8;17;-122,4045;-122,4042;37,7936;37,7939;-122,40435;37,79375;-122,404335;37,79361607;20;4;9,1;28,79;15;2/6/2008 12:35;1;2
353;8;16;-122,4045;-122,4042;37,7933;37,7936;-122,40435;37,79345;-122,4044724;37,79359759;4;4;9,04;28,82;15;2/6/2008 12:35;1;2
382;14;17;-122,4027;-122,4024;37,7936;37,7939;-122,40255;37,79375;-122,4025615;37,79383841;14;2;9,85;14,58;12;2/6/2008 12:35;1;2
383;15;17;-122,4024;-122,4021;37,7936;37,7939;-122,40225;37,79375;-122,4022472;37,79388078;14;2;10,04;15,13;12;2/6/2008 12:35;1;2
494;34;21;-122,3967;-122,3964;37,7948;37,7951;-122,39655;37,79495;-122,3966215;37,79490414;8;3;2,84;16,23;13;2/6/2008 12:35;1;2
304;28;13;-122,3985;-122,3982;37,7924;37,7927;-122,39835;37,79255;-122,3983329;37,79244757;20;3;12,02;19,6;17;2/6/2008 12:35;1;2
306;30;13;-122,3979;-122,3976;37,7924;37,7927;-122,39775;37,79255;-122,3977428;37,79253309;23;4;8;18,6;14;2/6/2008 12:35;1;2
513;30;22;-122,3979;-122,3976;37,7951;37,7954;-122,39775;37,79525;-122,3977631;37,79535223;6;1;11,87;12;12;2/6/2008 12:35;1;2
102;10;5;-122,4039;-122,4036;37,79;37,7903;-122,40375;37,79015;-122,4038353;37,79029465;4;1;19,45;19,85;20;2/6/2008 12:35;1;2
514;31;22;-122,3976;-122,3973;37,7951;37,7954;-122,39745;37,79525;-122,3975047;37,79538426;5;1;11,74;11,84;12;2/6/2008 12:35;1;2
